ID,Market,Region,Customer Feedback,NPS,ROUTERID
5784155,Singapore,East,Tv channels are taken off just like that but prices remain the same. Wireless router was not replaced when I recontracted early. Why punish for early recontract when I should be rewarded,8,102
19220760,Singapore,North-East,Never keep calling customer to upgrade plan . No late payment charge,9,103
18642591,Singapore,Central,"Wi-Fi is stable & suitable, but pricing can be lowered with promotion offer",9,104
17993141,Singapore,North,Broadband connection is not stable and sometimes very low,7,105
17993141,Singapore,North,WiFi not so strong even I alreday upgrade. Hope can do some improvements,6,106
18260505,Singapore,West,Broadband services were good and reliable most of the time. Nonetheless there's still room for improvement since it was patchy sometimes.,9,107
6298723,Singapore,North-East,Been a loyal customer for more than 10 years. Nuff said..,10,108
6429285,Singapore,Central,The internet speed seems to vary and I am not sure why,7,109
5918077,Singapore,East,for many years starhub has been my preferred choice for all mobile & broadband services for me & my family and till now starhub services seem to work well for us.,10,110
19861570,Singapore,North,Your internet sucks. Damn slow and unstable.,0,111
18542990,Singapore,East,My plan is $34.90 and your staff keeps offering me $39.90 with free router and a contract of 2 years. (Twice in a week) Does it sound interesting to you? I will just stick to my present plan without any contract. Thank you.,8,112
6474885,Singapore,North-East,Good,8,113
13193308,Singapore,North-East,Pricing could be more competitive.,7,114
18944276,Singapore,North-East,1) broadband always got disconnected  2) watching programs on TV got disrupted  3) have to restarts everytime - power off & on again 4) call 1633 - nobody answer to help or get technician to assist me. really sucks & I regret getting into starhub. everyday I have disruptions.  I could think alot more but wasting my time calling 1633,1,115
5807195,Singapore,West,I don't have any problem so far.,10,116
20414058,Singapore,North,Overall satisfy.,8,117
14005000,Singapore,North,Unstable signal,2,118
13954839,Singapore,West,"With competion, subscription plans are cheaper/ more powerful. Starhub shld reward loyal customers with upgrades or pricing discounts to remain attractive.",7,119
13954839,Singapore,West,"Have intermittent connectivity problems...but when connected, alls well.",6,120
15290460,Singapore,East,The broadband wifi network is very poor and has not been supporting zoom calls. The coverage is also not satisfactory even with google home.,3,121
15689826,Singapore,West,Yes,10,122
6410324,Singapore,North-East,"Lower rating for overall StarHub is due to previous experience where I was trying to recontract on behalf of my father's account & the customer service rep said he would call me back to address my questions (which he couldn't respond at that time) but didn't. I called StarHub again & was told by another rep that he would call me back but still didn't, this was very frustrating.",6,123
18433548,Singapore,West,Wifi too laggy.,2,124
19569005,Singapore,East,Good services. Helpful and pleasant staff.,10,125
13590274,Singapore,North-East,"So far, my internet connection has been satisfactorily serviced. But that is due to the installation of 2 additional routers which i have to pay extra for them otherwise the network became very bad. Hope starhub can waive the rental charges of the routers.  Thank you.",10,126
21809679,Singapore,East,"Signed up for broadband 1gbps free 4 months, billing account did not appear in app, could not activate Disney+, got spammed with sms and emails to activate Disney+. I called + went to shop + WhatsApp + FB message but no one could resolve the issue. Eventually billing account appeared during billing cycle, when I have to pay.",0,127
14803732,Singapore,North-East,Hopefully the price can go down further.,8,128
16501038,Singapore,North-East,Broadband slow,5,129
6602567,Singapore,West,No comments.,10,130
6110320,Singapore,North-East,Sometimes there are latency or disconnection.,7,131
20055733,Singapore,North-East,The Internet never hits the speed that is advertised. Its getting slower and slower despite being restarted,0,132
20933906,Singapore,West,Sometime feel lag.,5,133
6395924,Singapore,North-East,Provide better pricing for loyal customers,9,134
5966798,Singapore,Central,Should give better router and also the monthly fees should be cheaper,9,135
5966798,Singapore,Central,Overall good,10,136
13870118,Singapore,North-East,StarHub home broadband sometime experiencing lagging need to be improved.,6,137
13870118,Singapore,North-East,StarHub home broadband sometime experiencing lagging.,6,138
11746566,Singapore,West,Signal cover area not so good even only for 4 rooms HDB flat,8,139
6173441,Singapore,East,At times the wifi signal poor,9,140
18263385,Singapore,West,None,9,141
19258200,Singapore,West,Year 2021 need to reboot set-top box quite often.,7,142
17399612,Singapore,East,"Follow up case S1 1709894 #109144 Shortchanged. After 10 days & many follow ups, still waiting to be credited with data & local calls under WOW plan",0,143
5891916,Singapore,East,The callback to resolve my case was postponed from 18 Apr to 20 Apr to 22 Apr. Till date the issue is not resolved yet. And I have been paying multiple subscription unknowingly,0,144
21331832,Singapore,West,Good value for money,9,145
22418809,Singapore,North-East,"Network can be quite patchy at times, especially during rainy weather or thunderstorms. This is not good for work or leisure which requires proper network connection.",5,146
6191964,Singapore,North,"Could be cheaper, given data is becoming so. Effort should also be made to help customers upgrade equipment like routers to take advantage of the latest upgrades at the telco end",6,147
20514183,Singapore,North,Neutral.,6,148
18906878,Singapore,North-East,Your program has reduce tremendously and no replacement.  Your competitors got more choices. Very disappointed,0,149
19094801,Singapore,North,can see that there is room for improvement for said service,7,150
22630535,Singapore,North,Friendly CS and provide good services,10,151
12205496,Singapore,North-East,"The broadband is slow and give intermittent connection! The wifi router (Nokia) is worse than the old router,cannot connect or cannot received signal,slow.only one lan port out! The old router also slow and cannot connect via the configuration given! Asked for help many times cannot solve the problem! Was told will sent another technician but the same technician came just replace with an old set! And You want to know why your service is no good! Come on!!!",0,152
6518129,Singapore,North,So far no connection  problem. Speed is acceptable.,9,153
19708970,Singapore,Central,Affordable price and no much interruptions during your system maintenance,10,154
21195313,Singapore,North-East,No comments needed,0,155
16593963,Singapore,North,Decent speed for the plan..,8,156
20833387,Singapore,West,Signal not so strong and need additional mesh or extender if i want the whole apartment to receive signal,5,157
13797200,Singapore,North-East,Wifi network is not very stable. Many occasions of weak or no signal and had to on/off the switch to restart the network.,6,158
5799798,Singapore,East,Great,8,159
6536369,Singapore,North,I really don't understand why so difficult to view my bill statement d just to my monthly bill?thank you,0,160
6536369,Singapore,North,"Later ,busy at this movement.thank you.",6,161
5983881,Singapore,North,For broadbrand coverage it seems there are some disconnection  in our rooms. Our wifi is at living room.,8,162
19192962,Singapore,West,"Sometimes internet speed is slow, wifi is not strong",7,163
6481408,Singapore,East,Similar offerings and price points as competition,9,164
17886862,Singapore,East,Wifi not stable,5,165
11200840,Singapore,West,"always get hang,and services some of the staff is rude",3,166
22311570,Singapore,East,I have 2G plan ... but the signal strength is not that great. There are insurances where I don't have signal at all.,4,167
16614603,Singapore,North-East,Am satisfied with yr service that's why I recontract,7,168
19703210,Singapore,Central,Nil,6,169
6516209,Singapore,Central,Never reward or treasure your loyal customer. And your customer service really Cannot make it!,5,170
6471808,Singapore,North-East,Price is not as competitive and not much benefits,7,171
22014205,Singapore,Central,No internet line and this happen very frequent.,4,172
6617971,Singapore,West,Excellent service and I had been with starhub since 2002,10,173
5899160,Singapore,North,No comment at current status,7,174
18877118,Singapore,North-East,I am Using StarHub broadband service for past three year but this years its very very slow many many times.. can't even download images also many times ..   Not good experience at all,6,175
18877118,Singapore,North-East,We use StarHub broadband service for last four years ..this year very very slow manytimes can't get wifi also.. and for many years using continuously your network never provide Any attractive offers for longtime users,5,176
18877118,Singapore,North-East,Always network very slow,4,177
6565410,Singapore,North,Sometimes in my room no wifi,9,178
13828161,Singapore,East,Good service.,8,179
6355887,Singapore,North,So many years with starhub liao  Never contact me with regard to routers or modem upgrade.,5,180
10975957,Singapore,North-East,Im still not getting connections when im in the rooms and service yard at times...,8,181
5995881,Singapore,West,"The connection is good but for bill section, the line being cut off after being unpaid for 1 month , maybe can send final reminder before taking action to cut the line.",5,182
5710757,Singapore,Central,Na,8,183
5710757,Singapore,Central,Nil,8,184
11133399,Singapore,North-East,Can't comment as I don't do comparison.,5,185
10997557,Singapore,East,StarHub is great tho occasionally the network goes down.,8,186
5788278,Singapore,Central,"Very erratic internet connection the last few weeks. Hotline is almost impossible to reach, to lodge a complaint.",4,187
20528103,Singapore,North,Wifi intermittently issue with the area of the moderm. Interruption when doing live. Hope you monitor this.,8,188
20132577,Singapore,East,Very efficient service,10,189
21064271,Singapore,Central,Paying high rates for less channels of choice,2,190
13229588,Singapore,North-East,There are very competitive provider for broadband. Trusting and relying on Starhub is just my belief...and things are changing fast.,7,191
14390246,Singapore,West,7,6,192
11397400,Singapore,North-East,10,10,193
22835735,Singapore,North-East,Really lousy,0,194
13584314,Singapore,West,So far so god,7,195
15795228,Singapore,West,Q1 should be 7 - reason being is that wifi sometimes unstable. thanks,8,196
15795228,Singapore,West,"The Broadband service is slow at times, while wfh, my laptoo experience wifi disconnection... which is very frustrating...",7,197
21611956,Singapore,North-East,,10,198
14934574,Singapore,Central,Need to improve on the quality & performance of the router.,8,199
21208750,Singapore,North,"Maintenance to service network was done on a Monday between 9am - 5pm. My Wi-Fi was cut at a moment when I had to do a work presentation and I had to hotspot from my phone after losing connection abruptly. When everyone is working from home, more consideration should have been  given to the timing or at least more specific hours so we can make plans to avoid any disruption. Very unhappy with the service.",1,200
21433874,Singapore,North,"Was unsatisfied with m1 coverage so switched to starhub, but the coverage is spotty and connectivity is terrible. Marketing materials were also not clear that 2GBPS was actually 1+1 GBPS (unlike other telcos who state that upfront).",0,201
6039319,Singapore,North,So far I do not have any issue and I have perpetual discount for being loyalty customer.,8,202
12223733,Singapore,North,The broadband very slow. No rewards for loyal customers,5,203
19737048,Singapore,East,"Too expensive for the Broadband pricing, should consider repricing especially for middle-aged and loyal subscribers like me.   And for the rewards on restaurants it would be good if StarHub consider more halal eateries or restaurants as this is to cater for your Muslim subscribers. Thank you.",10,204
19737048,Singapore,East,"For my broadband, I did not encounter any hiccups.",10,205
6274282,Singapore,North-East,Now become abit slow.  And coverage area become smaller.  Need to upgrade.  But new bundle price is not attractive.,10,206
6581727,Singapore,West,More can be done to loyal existing clients.,6,207
13603034,Singapore,East,Hope that starhub can further improve their service,7,208
16715882,Singapore,North,"Always disconnect , no connection, signal very bad, re-contract no replacement of the hardware!",0,209
20920746,Singapore,North-East,Nil.,8,210
5680273,Singapore,North-East,"We've been StarHub customer for more then 10 years, we can feel it that StarHub getting better and better. Just recently we have experience slower internet line, perhaps it's because of maintenance activity.",9,211
18319586,Singapore,East,My broadband is intermittent and many times the download rate indicated FAILED when I check through the starhub speedtest. The ping is 20 plus.,2,212
6381804,Singapore,North,"WIFI Coverage sometimes not stable, especially at the start...the pricing expensive",7,213
6109160,Singapore,North-East,Now days not watching much unless need arise,8,214
20186575,Singapore,Central,"Once in a while, connection stops, and coverage sometimes drops in the next room",8,215
6383724,Singapore,East,"My customer experience with StarHub has been very disappointing over the years. Issues raised have been documented over and over again, but matters remain unresolved.",0,216
20658662,Singapore,East,Internet often disconnect and cannpt reach the room,5,217
13849278,Singapore,East,Reliable and competitive price,8,218
14255844,Singapore,West,Wifi signal is not strong as before.,4,219
14110402,Singapore,West,"To remain the same old price plan 29.90 without wireless router, time to re-contract  will be replace with a higher price plan 39.90 in order for me to have a wireless router modem.  Both old and re-contract price are of the same broadband speed.   Should have same price plan at 29.90",8,220
14110402,Singapore,West,"Multiple wifi connection meet my expecting , price plan with the latest upgrade to higher speed with no extra cost. However renewal of contract, price plan goes to the current pricing instead of the old contract price plan. Modem without wireless connection since the old contract plan",8,221
11590123,Singapore,North-East,Lousy customer services... 5G network so slow... The promotion is always for new customer and not retaining customers,0,222
6893972,Singapore,East,Could do even better,9,223
14151682,Singapore,East,Constantly dropped internet connection. Very frustrating to get a decent connection at all. Not worth the experience.,0,224
21028027,Singapore,North-East,"Telco that provide the 3 services namely 1)mobile, 2)broadband, 3)cable tv, are only StarHub and SingTel. I prefer StarHub as I feel the brand more private.",10,225
21028027,Singapore,North-East,"Basically only StarHub and SingTel got the 3 services namely Mobile, TV and Broadband. StarHub give me a refreshing images.",9,226
21028027,Singapore,North-East,Market understanding.,9,227
6497006,Singapore,West,speed has slowed and signal getting weaker. believe this is due to the age of the hardware. having the same hardware for many years. don't know if can exchange hardware for free. else might as well switch.,1,228
11078676,Singapore,North,I have both Starhub and Singtel. Singtel works better.,7,229
6215207,Singapore,North-East,The broadband speed fluctuates too much during peak hours. Connection to overseas sites comparatively worse than other isp.,7,230
6215207,Singapore,North-East,The speed fluctuates too much during peak hours.,7,231
20205501,Singapore,North,"WiFi speed since signing with Starhub never once exceeded 200mbps on the same device that I was using when I was with a different ISP. There are times that it was even in the double digits. Technician came down multiple times but issue is still not fixed and one of the officers handling my case said it because I have too many devices. I had the same amount of devices while using the other ISP and they managed to provide me with at least 600+mbps. To fix the WiFi issue, I even fork out cash to buy a WiFi 6 router thinking it might improve the speed but to no avail.. Basically I am being shortchanged with the less than 200mbps provided by Starhub and your team is unable to resolve the issue to date as I am sick and tired of having technicians down to reformat the router and I have to re connect all my devices when each time it does not improve the connection",5,232
12406102,Singapore,West,Router not stable and support take too long to respond or no response at all problem can not be resolved.,4,233
22814821,Singapore,West,Starhub team at Jurong Point are extremely helpful and patient,10,234
19647972,Singapore,Central,N.A,10,235
20512466,Singapore,East,Broadband speed is below average,5,236
15960076,Singapore,East,"The broadband speed is super slow when playing games even when I am just sitting right next to it!   The mobile data is the same, even on 5G mode, speed is super slow, even lower than my friend who are using SingTel 4G! It is like 2-3 times slower than them. Really disappointed",5,237
18978362,Singapore,North,"Broadband is not as good as singnet. Singnet is more stable. If I can comment on your StarHub tv, it's terrible.",5,238
5711920,Singapore,North-East,Expensive but not much other choices. Sometimrs slow and often drop in connection in my area...why????!!,4,239
22276492,Singapore,East,Internet is distorted frequently when watching EPL football.,0,240
21405999,Singapore,North,So far so good. If only the price can be lower.,8,241
16608566,Singapore,North-East,Internet a but slow sometimes,10,242
20281102,Singapore,North-East,Custumer service not helpful,5,243
19393088,Singapore,East,Sometimes cannot see channel 819 & 860 And many channels gone but still pay same subscription,5,244
11814013,Singapore,North-East,Na,7,245
11150643,Singapore,North-East,Price is same as others. Sometimes get unplanned downtime. Customer service is good when compared to previous time. Broadband activation by physical visit to new place after home shift is big inconvenience.,10,246
22284413,Singapore,East,"As i just join in for starhub, as far the stability on the internet connection is well.",5,247
13544439,Singapore,East,10,10,248
12892589,Singapore,West,Overall is great,9,249
20216541,Singapore,East,you have the worst customer service i ever had experienced,0,250
21913847,Singapore,North,Plan rate is higher compared to other service providers,9,251
15992477,Singapore,North,"Too slow, price should be cheaper due to slow connection and sometimes disconnect",4,252
17732023,Singapore,North-East,Best broadband service,10,253
22772820,Singapore,North-East,So much issue right from the start,4,254
22230412,Singapore,North,"When streaming simple YouTube videos or news clips, there is constant buffering occurring. My expensive wifi extenders constantly have a red light.",4,255
13546839,Singapore,North-East,Speed is low and sometimes erratic,4,256
22934823,Singapore,North-East,Very poor signal,0,257
16698087,Singapore,East,"Every night at exactly 12mn, the connection is reset. Although it just take a few mins but it is quite irritating and a disturbance",7,258
16138399,Singapore,North,Relatively quiet stable,8,259
14400052,Singapore,East,No issue so far,9,260
16785449,Singapore,East,StarHub s wifi signal is much weaker than Singtel. I m subscribed to both Telco's broadband service,5,261
6184007,Singapore,West,"Lately few occassion connection hang, slowed dwn.",6,262
11449207,Singapore,North,The coverage is as expected but peak hours see bandwidth going downhill,5,263
20119340,Singapore,North-East,"Till to day, no giving any problems to us,  it's great for using your products, Jia Yu!",8,264
14355412,Singapore,North,Efficient and seamless,9,265
14355412,Singapore,North,Wifi speed and coverage area could be better.,8,266
12668666,Singapore,West,9,9,267
22439935,Singapore,North-East,Very expensive not giving proper modem And connection always dropping. Nokia beacon really sucks so moved back to old modem,0,268
14937660,Singapore,North,Generally okay.   No comments,9,269
6497212,Singapore,North,"Internet is quite stable, just a few times suddenly a bit slow",9,270
6486411,Singapore,East,Cannot coverage my EM unit.,0,271
6316489,Singapore,East,Difficult to get wifi connection when in rooms,10,272
5834322,Singapore,East,Pricing can be cheaper,6,273
5834322,Singapore,East,The android box too many updates and each time will take 10mins,2,274
11322485,Singapore,East,WiFi not working after 4 months. Going to bring router to StarHub and see what we do to fix it this week.,5,275
17564501,Singapore,North-East,Price is not competitive,7,276
14958061,Singapore,West,Price affordable and working well,8,277
14958061,Singapore,West,Overall ratings 6.67...signal strength  not good enough can be improved.,7,278
14958061,Singapore,West,Standalone price and good usage,8,279
14958061,Singapore,West,Less breakdown and more reliable,7,280
17971547,Singapore,East,Internet speed slow,2,281
14365012,Singapore,North,All the programm is good.,8,282
22061689,Singapore,East,No other comments,9,283
21348158,Singapore,North-East,Internet very slow and lagging.... comparing any other brand,3,284
11308085,Singapore,North,There are service interruptions and drop at times. Network lags,5,285
16683704,Singapore,North,Internet connection slowness or get disconnections,2,286
15463046,Singapore,North-East,Stable wifi at hm for my family use.,8,287
11266581,Singapore,North-East,The network coverage has drastically dropped from the last 3 months and there is a lot of reconnecting happening,2,288
6327546,Singapore,North-East,My wifi drops off frequently.,5,289
5816818,Singapore,North,Slightly slower compared to SingTel,8,290
21233214,Singapore,North-East,"Every time I got monthly billing 91 dollar as I took only 42$ plan per month  ,and it's says the bill is over due,even though I pay the bill correctly",1,291
5952660,Singapore,West,"Reliable, had BB for many years since I subscribed to Starhub.",9,292
5952660,Singapore,West,"Reliable BB, Good speed, I have been a Starhub customer for long time n don't find major issues. However price is always a consideration. Perhaps could be better for retirees as future elderlies will increase and BB is a part of quality living.",10,293
18573733,Singapore,East,We experience interruptions to our StarHub Internet wifi service quite frequently - at least 2 to 3 times a week.,5,294
19107501,Singapore,Central,WiFi network abit slow and limited coverage,7,295
15817051,Singapore,Central,I have been waiting 2 months for a StarHub TV+ issue to be resolved. I have never seen worse customer service in my life and it can only be that no one is actually doing anything to solve it.  My broadband quality has also become quite poor recently.,0,296
14023984,Singapore,North-East,Often slow connections encountered.,5,297
13674058,Singapore,North-East,So far satisfied on your service. Thanks,9,298
21908104,Singapore,Central,Lousy customer service,0,299
15685049,Singapore,North-East,Not customer oriented services!,0,300
15812731,Singapore,Central,N.A,3,301
6222904,Singapore,Central,Staffs are efficient and friendly.,10,302
17620678,Singapore,East,0,1,303
17640599,Singapore,North,Something slow when we r in d room,9,304
19665510,Singapore,North-East,"Reason for scoring is only for 1 solid reasons, lately the internet speed is not consistent and creates connection issues especially during our work video conferences. Same applies when we are watching Netflix movies!",5,305
20874168,Singapore,North,-,8,306
15118400,Singapore,North-East,"Service must be provided seamlessly and without breakage. That is top satisfaction. As a service provider, responsibility is to ensure services are provided smoothly n efficiently at times. Similarly, you do expect users to pay bill promptly.",6,307
14588472,Singapore,North-East,Speed kept going slower,5,308
6107463,Singapore,East,I pay for the highest broadband plan .. but do NOT get the speed advertisd .. esp. On weekends when all the kids are Gaming,8,309
6107463,Singapore,East,Prices could be lowr compared to Intl Rates in S.E. Asia ..,8,310
19210703,Singapore,North-East,-,5,311
19441346,Singapore,East,So far okay,8,312
21769862,Singapore,North-East,1. A bit expensive. 2. Sometimes I get message telling me to switch to a better network because current one is not that good.,7,313
21769862,Singapore,North-East,At certain places in the house not able to receive signals.,8,314
21769862,Singapore,North-East,I am not able to do so on the upper level of my place,8,315
6443708,Singapore,North-East,Busy,10,316
6085142,Singapore,North,No comment,9,317
19011740,Singapore,North,Rating 4 Q1.  Broadband at home : slow. No coverage. Maybe i need to get mesh?,8,318
6105063,Singapore,East,occasionally have coverage interruption and required to reset,7,319
6105063,Singapore,East,"Pricing on the higher side, broadband at times not working well",7,320
19058300,Singapore,Central,Speed of broadband are volatile and not consistent .  It can go from very fast 900 mbps to less than 20 mbps .  Can improve here,7,321
16900907,Singapore,North-East,My plan include the tv package subscription. Channel selection and available program are below expectation.,8,322
15100640,Singapore,East,"Frequent change of channels and frequent deletions of channels that in general customer watched.  And now, we are not yet finish with our contract. There are channels that will be deleted soon and we need to subscribe on some package just to find those good channels. By doing that we need or we are force to take that package and once we do it, our contract will extend again for another 2 yrs.  If we dont do that subscription then whats what left for us to watch?! Might as well we use netflix to subscribe.",5,323
20662725,Singapore,North,Sometime connection is unstable and the speed is very low.,8,324
21929704,Singapore,North-East,Recently my wifi connection at home hasn't been good. Signal is poor and connectivity is not stable (on & off) even though I am near the router.,7,325
19937194,Singapore,North,Price same although the numbers of available channels decreases,8,326
5721537,Singapore,North-East,,3,327
14869276,Singapore,Central,Excellent,10,328
15722489,Singapore,North,No comment,7,329
