ROUTERID,Device Type,Signal Decibel,Data Downloaded,Data Uploaded
4503,Gaming Console,-100,563886244,127025686
13591,Smart Speaker,-55,409521935,684365812
19154,Smartwatch,-89,857886912,484845235
4861,Security Camera,-75,66773582,249919035
21288,Tablet,-97,292185210,155755176
4475,Laptop,-65,734625393,39400564
11338,Desktop,-82,658031831,32763354
7779,Smart Speaker,-60,645987809,690095071
3452,Gaming Console,-70,966553380,474713683
22803,Tablet,-98,4409183,393911507
19215,Gaming Console,-70,499653601,474836977
16494,Printer,-65,222991520,503606178
9044,Smartwatch,-53,37899272,972430149
561,Smart TV,-69,996933641,779886774
645,Smartphone,-59,778402639,512238810
12324,Security Camera,-100,377340682,164608205
5795,Smartphone,-98,525732862,262738503
1673,Smart TV,-71,353468454,737908171
21382,Smart Speaker,-97,884504253,309060686
987,Smart Speaker,-66,831116978,740895763
22383,Desktop,-82,610993818,668363504
9677,Security Camera,-52,368124223,235625590
23712,Security Camera,-97,456624181,631031748
2016,Security Camera,-100,151118400,505379472
8869,Printer,-61,612448668,661524129
2899,Printer,-99,231506153,340942491
19255,Printer,-55,640190217,965069672
14088,Smartphone,-76,582390918,891740917
5098,Gaming Console,-94,16940958,932090440
20586,Gaming Console,-97,102430824,165438390
1991,Smartwatch,-98,313184977,843077089
725,Printer,-56,287159297,149036216
23075,Laptop,-59,976484509,259391643
6558,Tablet,-84,760865052,153336470
22043,Smart TV,-83,560089879,291368310
13571,Smartwatch,-63,719177596,247358137
15984,Tablet,-82,350176995,985167125
10824,Smart TV,-99,159784580,973387674
1165,Smartwatch,-73,435922381,736110351
20885,Desktop,-61,708587491,497032157
2808,Smartphone,-86,221307054,663442941
14356,Smartwatch,-99,452362126,966094233
14583,Desktop,-62,463333992,274424838
4307,Laptop,-94,524989365,671770763
14390,Smartwatch,-65,669849946,282578114
15145,Desktop,-75,649014611,766881516
20306,Printer,-59,348054584,653433601
8774,Smartwatch,-90,657556212,269451458
7773,Laptop,-64,479976185,496086123
13537,Smartphone,-52,443813977,101378923
2476,Laptop,-70,598511562,270143478
8597,Desktop,-76,844243150,201163692
19181,Laptop,-94,824938865,918596537
17648,Tablet,-99,261242709,997511105
16472,Smart TV,-82,587523892,104267955
10894,Smart TV,-98,860915796,931714961
21939,Smart Speaker,-71,287525369,632763431
17556,Security Camera,-75,859115617,308503669
18921,Desktop,-58,894521369,423253223
21126,Smart TV,-92,672951577,262563165
3184,Smartwatch,-56,203840113,273302172
8714,Security Camera,-79,368284286,833909184
12097,Smart TV,-66,112358395,453533480
16694,Gaming Console,-74,826568324,381097767
15545,Smart Speaker,-98,750983900,393490418
3406,Smartphone,-79,327734342,191539212
11572,Tablet,-73,407698514,160225055
12005,Smart TV,-74,794898885,452780806
2058,Gaming Console,-88,135326820,947329573
248,Smart TV,-83,135834828,225067865
8337,Printer,-63,568121234,167500458
19309,Printer,-78,221844475,179870821
21893,Smartphone,-62,604320539,644506055
17698,Smart TV,-52,443389284,602710450
5093,Smart Speaker,-73,872815661,441389587
9528,Desktop,-93,220884308,919396724
23046,Smart TV,-82,754835129,437706417
23189,Printer,-63,95839756,343603774
4561,Security Camera,-94,405730515,73315964
22970,Smartwatch,-71,265483508,824346310
9302,Smart Speaker,-66,691360853,877345249
7128,Tablet,-65,413257293,630990942
11514,Smartwatch,-81,748889015,288231352
8975,Desktop,-92,8168901,181015314
4797,Smartwatch,-59,165461389,923662518
11743,Tablet,-71,159412189,351631485
16883,Smartphone,-94,165681892,659493221
14891,Smart TV,-95,551147175,67925441
13280,Laptop,-70,468854042,169092224
783,Tablet,-79,58417853,412412573
22919,Gaming Console,-70,92656778,537294625
4268,Smartwatch,-71,661353020,224030620
16587,Printer,-68,995680564,377041093
16981,Smart TV,-69,553873368,226492068
2732,Security Camera,-70,949912519,841618594
1854,Tablet,-90,903005493,934952555
17027,Printer,-58,947651916,595278976
6963,Laptop,-80,385789281,225511686
19234,Smartwatch,-58,169652198,37184456
8831,Smart TV,-79,92086439,508048737
18902,Printer,-91,951673920,632305881
21738,Laptop,-66,977598583,669437608
17617,Gaming Console,-74,561801207,742010916
21718,Security Camera,-78,170116173,177227225
23377,Smart TV,-92,7187174,190236412
19192,Printer,-71,585208368,251805577
8833,Laptop,-71,126081512,321182636
14332,Printer,-62,559301746,812579405
11491,Tablet,-65,379534790,115286977
23673,Laptop,-68,442473324,743560307
11557,Tablet,-76,1628366,583555036
7103,Smart Speaker,-88,716238056,854325433
9886,Desktop,-63,761061574,824008160
2778,Smart TV,-55,719557645,136307226
21022,Smart TV,-61,844095249,971136401
2901,Smart TV,-79,24769966,354481352
8771,Smart TV,-70,646967636,677140837
6811,Tablet,-99,899741055,151571977
16901,Laptop,-75,432124919,908724707
21111,Desktop,-97,996305825,84822657
20643,Desktop,-86,962177105,664237320
22549,Smart Speaker,-67,311218927,500720191
8980,Desktop,-92,208427943,36832255
21095,Tablet,-86,700369912,292695808
7901,Smartphone,-91,983228839,321279520
13718,Security Camera,-89,541437438,883597064
5595,Smart Speaker,-52,921090998,210149262
11242,Smart Speaker,-80,317606366,563405544
19934,Tablet,-64,331551362,608546245
19372,Smart Speaker,-56,291124001,831935429
9992,Smart Speaker,-72,607880249,75487427
8817,Security Camera,-97,794278212,306232776
15289,Printer,-75,25705219,210901229
18215,Smartwatch,-59,718982840,880993224
14536,Laptop,-93,473643209,950535065
9424,Desktop,-97,653429619,11562782
10106,Tablet,-98,68418330,190038060
2229,Smartwatch,-67,621342727,277706551
21828,Security Camera,-94,656914095,275281634
1337,Smartphone,-64,796650971,273963065
1141,Printer,-97,264748682,373381159
16312,Smart Speaker,-53,378951177,987629807
23532,Gaming Console,-85,368552589,625374909
15827,Smartphone,-64,573617045,562629021
19662,Desktop,-90,455944637,16972304
6593,Smartwatch,-87,526334716,222191265
23254,Tablet,-74,577021700,882479414
2995,Smart Speaker,-81,239143793,633260904
7637,Laptop,-65,10491780,813929054
22718,Smartwatch,-63,100219337,425050577
15093,Smartphone,-91,158529143,372676746
22198,Tablet,-69,832254849,597406436
15269,Laptop,-68,667946706,923027426
13801,Smart TV,-66,655217060,638031262
7833,Smartwatch,-91,175300531,565420619
8450,Smartphone,-83,879230352,531029220
6836,Tablet,-76,446386134,521558354
2358,Gaming Console,-59,386760281,754841472
15944,Laptop,-99,77333162,607532379
9845,Laptop,-69,950062967,862537483
13678,Smart TV,-74,450879364,492943325
12576,Gaming Console,-89,904799087,943793792
875,Smartwatch,-97,48162137,798631333
21969,Printer,-87,109903045,151402035
21480,Tablet,-52,106649848,608777184
11934,Printer,-63,235664427,626698112
12938,Tablet,-71,558547948,123771153
17100,Gaming Console,-55,916143897,913360963
8344,Printer,-72,764908407,528129376
295,Printer,-69,600171150,861406832
5755,Laptop,-79,352109784,865393936
625,Smartwatch,-68,249237669,478060515
7403,Desktop,-75,169233278,215872921
2074,Smart TV,-89,337992946,204528928
5487,Laptop,-99,45270318,704028967
22186,Smart Speaker,-60,543427654,817306369
11712,Laptop,-63,713919214,335315637
16766,Smartphone,-80,685305902,946895817
5218,Printer,-60,498730312,862598877
13835,Printer,-100,430311104,258676853
7125,Smart Speaker,-64,944982203,669614218
13596,Smartphone,-98,472247816,288358717
18829,Tablet,-58,123050237,262990819
4132,Laptop,-76,406042629,388305427
5993,Smartwatch,-73,943163463,524360646
1001,Gaming Console,-77,285813127,68465950
21906,Desktop,-94,952507012,300504714
6296,Smart TV,-68,794574431,839333954
7670,Smart TV,-71,102026208,297357330
20377,Smart Speaker,-77,23395418,115083198
797,Gaming Console,-86,151274743,496161105
10289,Tablet,-92,855148819,6670938
15322,Desktop,-65,648448410,143081131
3894,Printer,-97,244212341,44921521
16335,Desktop,-55,697320755,133604480
19325,Tablet,-70,761152850,834655839
19515,Security Camera,-66,774784192,255586546
10658,Laptop,-69,943403274,3525105
7566,Tablet,-59,235554806,934272664
9845,Security Camera,-87,651470516,533605796
17852,Smart TV,-77,628085330,503511923
7061,Printer,-67,768598785,505386040
11291,Smart TV,-57,784127859,572594514
21245,Gaming Console,-68,806747791,416202497
13123,Printer,-77,954692082,380978790
20601,Printer,-72,662100147,292148981
14237,Security Camera,-63,175666189,105264743
4068,Smartphone,-63,904450142,915584172
5055,Smartwatch,-67,804324518,723630310
10580,Security Camera,-92,835791500,982110927
12848,Printer,-82,450767668,391336986
4362,Security Camera,-90,726604736,82253865
6970,Smartphone,-58,411874538,778583658
1944,Tablet,-80,994977783,877971267
15907,Smart Speaker,-96,165467308,692250733
682,Smart TV,-93,451723465,864757543
13851,Smart Speaker,-53,867533439,375579631
2427,Smart TV,-99,599760699,705257698
11827,Printer,-85,603434495,47873608
6024,Smart Speaker,-82,902547463,543765383
20742,Security Camera,-58,568390234,879691618
9931,Security Camera,-96,188070510,569478756
14232,Printer,-82,536803595,551171807
17696,Smartphone,-76,647340777,809400921
14835,Gaming Console,-62,978112677,955026266
4186,Smartwatch,-77,223195579,192833633
10240,Laptop,-56,433299154,572794180
3473,Laptop,-86,433130621,320024575
8907,Laptop,-97,243858215,435111325
17839,Smart Speaker,-73,171023833,435582210
9340,Gaming Console,-68,131309818,662226534
21284,Gaming Console,-87,168330552,369724772
18292,Security Camera,-85,10936104,274251665
7524,Desktop,-96,49917701,345708391
13168,Security Camera,-85,438848400,131834563
22628,Smartphone,-94,539825665,809129925
745,Gaming Console,-83,605014432,908201730
3734,Printer,-68,15240334,251373607
2705,Security Camera,-84,97041249,583207936
100,Smart TV,-55,332713058,799759518
20553,Tablet,-99,572728460,790150495
13319,Tablet,-97,839190844,498655560
20167,Security Camera,-60,478983818,418212445
21745,Desktop,-62,445027324,502600769
13785,Gaming Console,-71,24765040,37411395
18427,Smartwatch,-91,61290987,275481055
1955,Gaming Console,-61,685171278,470346255
8073,Smartwatch,-65,470466337,576551928
1363,Tablet,-60,295291506,410825379
3407,Security Camera,-51,42883002,531887905
16367,Smart TV,-61,217355834,780855788
7125,Smartphone,-89,979539857,967166542
9890,Laptop,-86,568935141,138839505
381,Desktop,-58,901772219,203493442
9765,Smart Speaker,-82,500942655,122195810
2842,Smart TV,-97,524890987,742677090
11642,Tablet,-80,992130022,404226804
10236,Tablet,-58,521882796,633944113
7195,Security Camera,-62,636044417,978097284
5339,Smartwatch,-70,582327235,28113485
23052,Smartphone,-95,712303735,220232562
14783,Printer,-78,417247553,443221127
13529,Smartphone,-93,705805214,62196445
22672,Gaming Console,-92,983635032,777767032
1570,Laptop,-83,414653172,46331051
582,Gaming Console,-99,289767738,670139242
6881,Security Camera,-53,936534484,120596931
22561,Smart Speaker,-61,449066148,891129193
3613,Desktop,-65,341847410,142265438
22547,Security Camera,-79,131823972,673132950
17923,Smartphone,-86,410125419,643677454
756,Gaming Console,-80,473891648,780466334
12154,Tablet,-51,549479419,941055982
11238,Security Camera,-64,810993011,963810633
17340,Desktop,-78,470430260,419033755
23702,Smart TV,-75,663455144,236649600
11433,Smartwatch,-70,633170630,852676617
4910,Printer,-99,753468729,430063274
3981,Desktop,-61,291586320,847432061
2941,Smartwatch,-88,234522840,836538726
7525,Smartphone,-90,517588946,184114612
21169,Gaming Console,-94,945332389,650770572
13344,Smartphone,-90,370041994,321414062
4224,Smart TV,-85,515506117,55467174
10046,Gaming Console,-71,954042229,338243167
3773,Tablet,-59,744541531,74170403
6354,Security Camera,-60,469281670,365853646
23232,Smart TV,-74,335646594,380717078
7071,Desktop,-92,645960328,810179912
3524,Printer,-98,130439845,466491805
10040,Desktop,-70,430685200,301713930
23480,Smartphone,-91,830589019,621204195
2627,Gaming Console,-84,40301035,538576220
16596,Laptop,-70,490261439,700774588
4998,Gaming Console,-84,88857541,498407017
16633,Gaming Console,-81,774712080,156907150
974,Laptop,-60,571902916,854519682
22680,Smartphone,-78,23730198,306924310
15734,Printer,-58,649038322,306665945
9668,Smart Speaker,-63,542333809,884208330
19100,Smartwatch,-94,897850999,230998991
23421,Gaming Console,-79,291744492,807219905
8950,Printer,-83,111520744,436200447
7395,Smartwatch,-100,151743829,208238615
10660,Gaming Console,-81,623330132,691761967
22677,Tablet,-71,462831810,8607011
6298,Smartwatch,-93,672930539,736090852
18903,Smartphone,-56,89036670,453219618
14742,Smartwatch,-78,833467566,53778419
17985,Desktop,-76,320355494,384416097
16401,Smart Speaker,-83,807761169,202481412
1765,Smartphone,-100,84240015,91357285
10156,Smart Speaker,-62,735291338,431435498
4176,Smartphone,-74,453413368,918085401
19370,Tablet,-67,406732656,590719780
20278,Smart Speaker,-70,336178997,574382070
17516,Tablet,-96,606200320,993212930
3075,Smart Speaker,-80,799693286,60546259
21845,Smart Speaker,-66,374397825,481580488
15079,Tablet,-70,978864777,337383523
5011,Desktop,-55,64005900,270332635
20604,Smart TV,-76,91338931,683317968
7246,Security Camera,-53,379947937,77001514
23058,Smart Speaker,-80,475375392,721239339
2931,Tablet,-94,209977354,450123191
5514,Printer,-56,805111986,661832695
14164,Gaming Console,-56,6107635,83592108
19631,Smartphone,-55,500400380,145296835
126,Security Camera,-90,260447130,145994192
2739,Smartphone,-66,449031286,159058489
17606,Desktop,-53,931918775,35043176
353,Security Camera,-90,505979621,219351764
23451,Printer,-74,147206452,291626715
14443,Smart Speaker,-72,46569628,172364830
20020,Tablet,-57,239089712,110220032
7904,Security Camera,-97,673041232,702138517
18070,Smartwatch,-82,694879339,660805390
18492,Smart TV,-89,745681264,541532782
23550,Smart TV,-85,627672425,135807131
12665,Gaming Console,-93,726391437,29490639
7361,Smartwatch,-55,330745814,462046076
16740,Smart TV,-82,442128322,648169879
9883,Tablet,-79,691930485,64050490
1641,Desktop,-66,144369090,122782856
1752,Smartwatch,-50,30448259,135782136
21547,Desktop,-52,78280244,266994594
7654,Laptop,-69,844512895,990304652
17221,Tablet,-72,239232209,512800148
10155,Laptop,-71,594096363,872933466
19246,Laptop,-80,224808826,232428568
7248,Smartwatch,-94,495266309,855203162
1481,Gaming Console,-82,463479493,744209096
18447,Laptop,-56,379399402,339847000
1550,Smartwatch,-54,435390814,162334894
16674,Tablet,-52,786427978,605830791
4317,Smartphone,-93,681317255,640382261
11494,Printer,-83,644004989,690558889
9431,Gaming Console,-92,396139796,952596643
7095,Gaming Console,-62,719104844,963432276
2376,Smartwatch,-89,375393054,163902617
545,Desktop,-94,495483428,128804471
21377,Security Camera,-94,274636941,7400766
6221,Smart TV,-67,670808525,484007665
2799,Security Camera,-94,158197374,115765748
4451,Desktop,-53,582915889,236046284
2978,Smartphone,-89,517581160,568380352
7383,Security Camera,-73,612605439,50146433
16621,Smartwatch,-92,892415523,779885335
15234,Smart Speaker,-79,502011916,359498006
22002,Smartwatch,-78,605285985,632655372
5027,Tablet,-82,766945059,163996056
18853,Smartphone,-50,454902387,583195322
18692,Desktop,-87,785881319,894928148
12294,Smartphone,-98,482891828,618555519
11538,Smartwatch,-71,994495340,952539514
3815,Smartwatch,-64,224237823,939221281
9669,Printer,-53,363943788,645837699
4104,Desktop,-76,885769504,303955660
18194,Smartwatch,-93,706200220,159317623
23645,Smartphone,-66,342651538,686636352
15058,Security Camera,-56,213247017,34124240
1683,Printer,-74,815968320,205843523
20841,Smart Speaker,-93,707976217,778080726
23672,Smart TV,-54,456201852,278080581
2476,Printer,-66,879610816,492127118
5450,Smart Speaker,-72,181333781,999608261
20500,Smart TV,-51,175968096,294696915
165,Gaming Console,-68,394628342,192346680
23100,Smart Speaker,-64,714126096,448798212
650,Smart TV,-77,134463915,253138411
1681,Gaming Console,-85,257065652,824320431
4458,Smartphone,-80,195245571,959111141
21561,Security Camera,-76,980255580,860189020
3479,Gaming Console,-51,665953611,877424532
23133,Gaming Console,-88,463510706,933917100
6011,Desktop,-51,728302380,403957947
6004,Gaming Console,-88,21223157,380908355
17891,Smartwatch,-84,664316705,797361475
5800,Smart TV,-63,272450035,839008830
7441,Tablet,-59,143994289,857880646
6253,Smart Speaker,-50,630064267,29969693
21323,Security Camera,-51,247298775,634835514
7912,Security Camera,-83,135005075,507161754
14852,Gaming Console,-66,598018532,587563504
5278,Smartphone,-87,356172352,292719211
7343,Printer,-53,409466424,7904785
4624,Security Camera,-87,195847336,29029341
1757,Desktop,-89,86641038,515834047
12679,Gaming Console,-80,183443740,605744804
4331,Security Camera,-90,556275183,342745195
44,Smartphone,-51,609814620,712317251
22059,Tablet,-60,312562495,623114676
4220,Laptop,-74,885522232,226593270
8229,Smartwatch,-60,485816534,740694083
